rank,title,date,artist,region,streams
1,Arranhão - Ao Vivo,2021-10-06,Henrique & Juliano,Brazil,825958.0
9,Meu Pedaço de Pecado,2021-10-06,João Gomes,Brazil,593219.0
10,Você Beberia Ou Não Beberia?,2021-10-06,Zé Neto & Cristiano,Brazil,575812.0
2,Bala Love,2021-10-06,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,706094.0
2,Coração Cachorro,2021-10-07,"Avine Vinny, Matheus Fernandes",Brazil,784468.0
3,Bala Love,2021-10-07,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,729270.0
6,Nota de Repúdio - Ao Vivo,2021-10-07,Gusttavo Lima,Brazil,658190.0
7,Quer Voar,2021-10-07,Matuê,Brazil,646347.0
8,Meu Pedaço de Pecado,2021-10-07,João Gomes,Brazil,612250.0
9,Você Beberia Ou Não Beberia?,2021-10-07,Zé Neto & Cristiano,Brazil,604319.0
10,Groupies,2021-10-07,"Doode, Teto, Matuê",Brazil,578808.0
4,Ela e Ela,2021-10-07,Zé Neto & Cristiano,Brazil,708182.0
1,Arranhão - Ao Vivo,2021-10-07,Henrique & Juliano,Brazil,877763.0
5,Revoada No Colchão,2021-10-07,"Zé Felipe, Marcynho Sensação",Brazil,689083.0
5,Ela e Ela,2021-10-08,Zé Neto & Cristiano,Brazil,880214.0
9,Quer Voar,2021-10-08,Matuê,Brazil,726534.0
8,Você Beberia Ou Não Beberia?,2021-10-08,Zé Neto & Cristiano,Brazil,762637.0
2,Coração Cachorro,2021-10-08,"Avine Vinny, Matheus Fernandes",Brazil,1092614.0
3,Revoada No Colchão,2021-10-08,"Zé Felipe, Marcynho Sensação",Brazil,907733.0
7,Meu Pedaço de Pecado,2021-10-08,João Gomes,Brazil,769007.0
6,Nota de Repúdio - Ao Vivo,2021-10-08,Gusttavo Lima,Brazil,877955.0
4,Bala Love,2021-10-08,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,893825.0
10,Chega E Senta - Live,2021-10-08,John Amplificado,Brazil,683119.0
1,Arranhão - Ao Vivo,2021-10-08,Henrique & Juliano,Brazil,1098637.0
2,Arranhão - Ao Vivo,2021-10-09,Henrique & Juliano,Brazil,1275630.0
3,Revoada No Colchão,2021-10-09,"Zé Felipe, Marcynho Sensação",Brazil,1096952.0
4,Nota de Repúdio - Ao Vivo,2021-10-09,Gusttavo Lima,Brazil,1075263.0
5,Ela e Ela,2021-10-09,Zé Neto & Cristiano,Brazil,1044815.0
1,Coração Cachorro,2021-10-09,"Avine Vinny, Matheus Fernandes",Brazil,1339677.0
6,Bala Love,2021-10-09,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,999297.0
7,Meu Pedaço de Pecado,2021-10-09,João Gomes,Brazil,966320.0
8,Você Beberia Ou Não Beberia?,2021-10-09,Zé Neto & Cristiano,Brazil,942433.0
9,Chega E Senta - Live,2021-10-09,John Amplificado,Brazil,822500.0
10,Ficha Limpa,2021-10-09,Gusttavo Lima,Brazil,800357.0
5,Ela e Ela,2021-10-10,Zé Neto & Cristiano,Brazil,829243.0
4,Nota de Repúdio - Ao Vivo,2021-10-10,Gusttavo Lima,Brazil,869281.0
6,Meu Pedaço de Pecado,2021-10-10,João Gomes,Brazil,809962.0
7,Bala Love,2021-10-10,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,792111.0
8,Você Beberia Ou Não Beberia?,2021-10-10,Zé Neto & Cristiano,Brazil,743490.0
9,Chega E Senta - Live,2021-10-10,John Amplificado,Brazil,666861.0
10,Rolê,2021-10-10,"Tarcísio do Acordeon, Marcynho Sensação",Brazil,653268.0
1,Coração Cachorro,2021-10-10,"Avine Vinny, Matheus Fernandes",Brazil,1132799.0
3,Revoada No Colchão,2021-10-10,"Zé Felipe, Marcynho Sensação",Brazil,893847.0
2,Arranhão - Ao Vivo,2021-10-10,Henrique & Juliano,Brazil,1017481.0
9,Você Beberia Ou Não Beberia?,2021-10-11,Zé Neto & Cristiano,Brazil,637867.0
3,Revoada No Colchão,2021-10-11,"Zé Felipe, Marcynho Sensação",Brazil,804041.0
2,Arranhão - Ao Vivo,2021-10-11,Henrique & Juliano,Brazil,938449.0
1,Coração Cachorro,2021-10-11,"Avine Vinny, Matheus Fernandes",Brazil,1046266.0
10,Quer Voar,2021-10-11,Matuê,Brazil,585057.0
8,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-11,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,663496.0
7,Meu Pedaço de Pecado,2021-10-11,João Gomes,Brazil,719700.0
6,Ela e Ela,2021-10-11,Zé Neto & Cristiano,Brazil,739942.0
5,Bala Love,2021-10-11,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,749640.0
4,Nota de Repúdio - Ao Vivo,2021-10-11,Gusttavo Lima,Brazil,759604.0
1,Coração Cachorro,2021-10-12,"Avine Vinny, Matheus Fernandes",Brazil,1213616.0
2,Arranhão - Ao Vivo,2021-10-12,Henrique & Juliano,Brazil,1084796.0
3,Revoada No Colchão,2021-10-12,"Zé Felipe, Marcynho Sensação",Brazil,938528.0
4,Nota de Repúdio - Ao Vivo,2021-10-12,Gusttavo Lima,Brazil,913943.0
10,Chega E Senta - Live,2021-10-12,John Amplificado,Brazil,671740.0
6,Ela e Ela,2021-10-12,Zé Neto & Cristiano,Brazil,857453.0
7,Bala Love,2021-10-12,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,829678.0
8,Você Beberia Ou Não Beberia?,2021-10-12,Zé Neto & Cristiano,Brazil,770287.0
9,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-12,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,743445.0
5,Meu Pedaço de Pecado,2021-10-12,João Gomes,Brazil,870359.0
10,Você Beberia Ou Não Beberia?,2021-10-13,Zé Neto & Cristiano,Brazil,534088.0
9,Quer Voar,2021-10-13,Matuê,Brazil,579889.0
8,Meu Pedaço de Pecado,2021-10-13,João Gomes,Brazil,615494.0
7,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-13,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,623748.0
6,Ela e Ela,2021-10-13,Zé Neto & Cristiano,Brazil,625673.0
5,Nota de Repúdio - Ao Vivo,2021-10-13,Gusttavo Lima,Brazil,645641.0
4,Bala Love,2021-10-13,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,703847.0
3,Revoada No Colchão,2021-10-13,"Zé Felipe, Marcynho Sensação",Brazil,723428.0
2,Arranhão - Ao Vivo,2021-10-13,Henrique & Juliano,Brazil,832171.0
1,Coração Cachorro,2021-10-13,"Avine Vinny, Matheus Fernandes",Brazil,924766.0
1,Coração Cachorro,2021-10-14,"Avine Vinny, Matheus Fernandes",Brazil,973160.0
3,Revoada No Colchão,2021-10-14,"Zé Felipe, Marcynho Sensação",Brazil,762927.0
10,Você Beberia Ou Não Beberia?,2021-10-14,Zé Neto & Cristiano,Brazil,537640.0
9,Quer Voar,2021-10-14,Matuê,Brazil,604140.0
4,Bala Love,2021-10-14,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,727964.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-14,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,700068.0
6,Nota de Repúdio - Ao Vivo,2021-10-14,Gusttavo Lima,Brazil,656904.0
7,Ela e Ela,2021-10-14,Zé Neto & Cristiano,Brazil,644696.0
8,Meu Pedaço de Pecado,2021-10-14,João Gomes,Brazil,619030.0
2,Arranhão - Ao Vivo,2021-10-14,Henrique & Juliano,Brazil,878150.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-15,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,888947.0
1,Coração Cachorro,2021-10-15,"Avine Vinny, Matheus Fernandes",Brazil,1166653.0
2,Arranhão - Ao Vivo,2021-10-15,Henrique & Juliano,Brazil,1083816.0
3,Revoada No Colchão,2021-10-15,"Zé Felipe, Marcynho Sensação",Brazil,912093.0
7,Nota de Repúdio - Ao Vivo,2021-10-15,Gusttavo Lima,Brazil,823322.0
6,Bala Love,2021-10-15,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,838868.0
8,Ela e Ela,2021-10-15,Zé Neto & Cristiano,Brazil,803608.0
9,Meu Pedaço de Pecado,2021-10-15,João Gomes,Brazil,740734.0
10,Você Beberia Ou Não Beberia?,2021-10-15,Zé Neto & Cristiano,Brazil,666017.0
5,Easy On Me,2021-10-15,Adele,Brazil,844150.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-16,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,1079997.0
5,Nota de Repúdio - Ao Vivo,2021-10-16,Gusttavo Lima,Brazil,1038638.0
9,Você Beberia Ou Não Beberia?,2021-10-16,Zé Neto & Cristiano,Brazil,825949.0
7,Bala Love,2021-10-16,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,958421.0
8,Meu Pedaço de Pecado,2021-10-16,João Gomes,Brazil,938128.0
2,Arranhão - Ao Vivo,2021-10-16,Henrique & Juliano,Brazil,1308706.0
6,Ela e Ela,2021-10-16,Zé Neto & Cristiano,Brazil,989570.0
1,Coração Cachorro,2021-10-16,"Avine Vinny, Matheus Fernandes",Brazil,1468858.0
3,Revoada No Colchão,2021-10-16,"Zé Felipe, Marcynho Sensação",Brazil,1114351.0
10,Putariazinha,2021-10-16,Felipe Amorim,Brazil,758662.0
1,Coração Cachorro,2021-10-17,"Avine Vinny, Matheus Fernandes",Brazil,1216738.0
2,Arranhão - Ao Vivo,2021-10-17,Henrique & Juliano,Brazil,1036205.0
3,Revoada No Colchão,2021-10-17,"Zé Felipe, Marcynho Sensação",Brazil,890502.0
5,Nota de Repúdio - Ao Vivo,2021-10-17,Gusttavo Lima,Brazil,842154.0
6,Ela e Ela,2021-10-17,Zé Neto & Cristiano,Brazil,796521.0
7,Bala Love,2021-10-17,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,775745.0
8,Meu Pedaço de Pecado,2021-10-17,João Gomes,Brazil,770097.0
9,Você Beberia Ou Não Beberia?,2021-10-17,Zé Neto & Cristiano,Brazil,660974.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-17,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,862694.0
10,Putariazinha,2021-10-17,Felipe Amorim,Brazil,627672.0
2,Arranhão - Ao Vivo,2021-10-18,Henrique & Juliano,Brazil,795659.0
9,Quer Voar,2021-10-18,Matuê,Brazil,518956.0
10,Putariazinha,2021-10-18,Felipe Amorim,Brazil,494576.0
8,Meu Pedaço de Pecado,2021-10-18,João Gomes,Brazil,522108.0
7,Ela e Ela,2021-10-18,Zé Neto & Cristiano,Brazil,581516.0
6,Nota de Repúdio - Ao Vivo,2021-10-18,Gusttavo Lima,Brazil,586860.0
5,Bala Love,2021-10-18,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,644092.0
4,Revoada No Colchão,2021-10-18,"Zé Felipe, Marcynho Sensação",Brazil,672118.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-18,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,687705.0
1,Coração Cachorro,2021-10-18,"Avine Vinny, Matheus Fernandes",Brazil,881423.0
10,Meu Pedaço de Pecado,2021-10-19,João Gomes,Brazil,526656.0
5,Bala Love,2021-10-19,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,660090.0
4,Revoada No Colchão,2021-10-19,"Zé Felipe, Marcynho Sensação",Brazil,676456.0
8,A QUEDA,2021-10-19,Gloria Groove,Brazil,552409.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-19,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,695016.0
2,Arranhão - Ao Vivo,2021-10-19,Henrique & Juliano,Brazil,808585.0
1,Coração Cachorro,2021-10-19,"Avine Vinny, Matheus Fernandes",Brazil,879321.0
9,Quer Voar,2021-10-19,Matuê,Brazil,538666.0
6,Nota de Repúdio - Ao Vivo,2021-10-19,Gusttavo Lima,Brazil,604944.0
7,Ela e Ela,2021-10-19,Zé Neto & Cristiano,Brazil,585951.0
2,Arranhão - Ao Vivo,2021-10-20,Henrique & Juliano,Brazil,829944.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-20,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,710477.0
4,Revoada No Colchão,2021-10-20,"Zé Felipe, Marcynho Sensação",Brazil,697197.0
5,Bala Love,2021-10-20,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,676184.0
6,Nota de Repúdio - Ao Vivo,2021-10-20,Gusttavo Lima,Brazil,638744.0
7,Ela e Ela,2021-10-20,Zé Neto & Cristiano,Brazil,606173.0
8,Quer Voar,2021-10-20,Matuê,Brazil,549981.0
1,Coração Cachorro,2021-10-20,"Avine Vinny, Matheus Fernandes",Brazil,916291.0
9,A QUEDA,2021-10-20,Gloria Groove,Brazil,548213.0
10,Meu Pedaço de Pecado,2021-10-20,João Gomes,Brazil,538255.0
10,Quer Voar,2021-10-21,Matuê,Brazil,578196.0
9,GALOPA,2021-10-21,PEDRO SAMPAIO,Brazil,581318.0
8,A QUEDA,2021-10-21,Gloria Groove,Brazil,595600.0
7,Ela e Ela,2021-10-21,Zé Neto & Cristiano,Brazil,638252.0
6,Nota de Repúdio - Ao Vivo,2021-10-21,Gusttavo Lima,Brazil,688794.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-21,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,761313.0
4,Revoada No Colchão,2021-10-21,"Zé Felipe, Marcynho Sensação",Brazil,735120.0
2,Arranhão - Ao Vivo,2021-10-21,Henrique & Juliano,Brazil,893774.0
1,Coração Cachorro,2021-10-21,"Avine Vinny, Matheus Fernandes",Brazil,963081.0
5,Bala Love,2021-10-21,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,725799.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-22,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,939399.0
7,Ela e Ela,2021-10-22,Zé Neto & Cristiano,Brazil,793424.0
6,Nota de Repúdio - Ao Vivo,2021-10-22,Gusttavo Lima,Brazil,875793.0
5,Bala Love,2021-10-22,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,877915.0
4,Revoada No Colchão,2021-10-22,"Zé Felipe, Marcynho Sensação",Brazil,913693.0
2,Arranhão - Ao Vivo,2021-10-22,Henrique & Juliano,Brazil,1133253.0
9,A QUEDA,2021-10-22,Gloria Groove,Brazil,721328.0
1,Coração Cachorro,2021-10-22,"Avine Vinny, Matheus Fernandes",Brazil,1208422.0
10,A Maior Saudade - Ao Vivo,2021-10-22,Henrique & Juliano,Brazil,721274.0
8,GALOPA,2021-10-22,PEDRO SAMPAIO,Brazil,740661.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-23,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,1091410.0
6,Bala Love,2021-10-23,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,986037.0
7,Ela e Ela,2021-10-23,Zé Neto & Cristiano,Brazil,961140.0
4,Nota de Repúdio - Ao Vivo,2021-10-23,Gusttavo Lima,Brazil,1097702.0
3,Revoada No Colchão,2021-10-23,"Zé Felipe, Marcynho Sensação",Brazil,1125458.0
2,Arranhão - Ao Vivo,2021-10-23,Henrique & Juliano,Brazil,1327508.0
1,Coração Cachorro,2021-10-23,"Avine Vinny, Matheus Fernandes",Brazil,1475958.0
8,Meu Pedaço de Pecado,2021-10-23,João Gomes,Brazil,891542.0
9,GALOPA,2021-10-23,PEDRO SAMPAIO,Brazil,847863.0
10,A Maior Saudade - Ao Vivo,2021-10-23,Henrique & Juliano,Brazil,820249.0
6,Bala Love,2021-10-24,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,741249.0
1,Coração Cachorro,2021-10-24,"Avine Vinny, Matheus Fernandes",Brazil,1166156.0
2,Arranhão - Ao Vivo,2021-10-24,Henrique & Juliano,Brazil,996543.0
3,Revoada No Colchão,2021-10-24,"Zé Felipe, Marcynho Sensação",Brazil,889476.0
4,Nota de Repúdio - Ao Vivo,2021-10-24,Gusttavo Lima,Brazil,852224.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-24,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,820865.0
7,Ela e Ela,2021-10-24,Zé Neto & Cristiano,Brazil,725105.0
8,Meu Pedaço de Pecado,2021-10-24,João Gomes,Brazil,708604.0
9,GALOPA,2021-10-24,PEDRO SAMPAIO,Brazil,646126.0
10,Putariazinha,2021-10-24,Felipe Amorim,Brazil,635918.0
5,Bala Love,2021-10-25,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,643348.0
6,Nota de Repúdio - Ao Vivo,2021-10-25,Gusttavo Lima,Brazil,615507.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-25,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,676698.0
7,GALOPA,2021-10-25,PEDRO SAMPAIO,Brazil,606118.0
8,A QUEDA,2021-10-25,Gloria Groove,Brazil,565757.0
2,Arranhão - Ao Vivo,2021-10-25,Henrique & Juliano,Brazil,795444.0
9,Ela e Ela,2021-10-25,Zé Neto & Cristiano,Brazil,551529.0
10,Putariazinha,2021-10-25,Felipe Amorim,Brazil,531769.0
1,Coração Cachorro,2021-10-25,"Avine Vinny, Matheus Fernandes",Brazil,849089.0
3,Revoada No Colchão,2021-10-25,"Zé Felipe, Marcynho Sensação",Brazil,682045.0
7,Nota de Repúdio - Ao Vivo,2021-10-26,Gusttavo Lima,Brazil,621208.0
6,GALOPA,2021-10-26,PEDRO SAMPAIO,Brazil,642189.0
9,Ela e Ela,2021-10-26,Zé Neto & Cristiano,Brazil,567080.0
10,Putariazinha,2021-10-26,Felipe Amorim,Brazil,548667.0
1,Coração Cachorro,2021-10-26,"Avine Vinny, Matheus Fernandes",Brazil,859512.0
2,Arranhão - Ao Vivo,2021-10-26,Henrique & Juliano,Brazil,812325.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-26,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,688592.0
4,Revoada No Colchão,2021-10-26,"Zé Felipe, Marcynho Sensação",Brazil,681087.0
5,Bala Love,2021-10-26,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,652695.0
8,A QUEDA,2021-10-26,Gloria Groove,Brazil,596629.0
2,Arranhão - Ao Vivo,2021-10-27,Henrique & Juliano,Brazil,830217.0
4,Revoada No Colchão,2021-10-27,"Zé Felipe, Marcynho Sensação",Brazil,683571.0
3,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-27,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,698849.0
5,Bala Love,2021-10-27,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,668610.0
6,GALOPA,2021-10-27,PEDRO SAMPAIO,Brazil,661072.0
7,Nota de Repúdio - Ao Vivo,2021-10-27,Gusttavo Lima,Brazil,640323.0
10,Putariazinha,2021-10-27,Felipe Amorim,Brazil,560671.0
9,Ela e Ela,2021-10-27,Zé Neto & Cristiano,Brazil,580044.0
8,A QUEDA,2021-10-27,Gloria Groove,Brazil,615567.0
1,Coração Cachorro,2021-10-27,"Avine Vinny, Matheus Fernandes",Brazil,899388.0
10,Putariazinha,2021-10-28,Felipe Amorim,Brazil,574895.0
9,Ela e Ela,2021-10-28,Zé Neto & Cristiano,Brazil,607633.0
8,A QUEDA,2021-10-28,Gloria Groove,Brazil,638334.0
6,GALOPA,2021-10-28,PEDRO SAMPAIO,Brazil,696429.0
5,Bala Love,2021-10-28,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,699903.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-28,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,721566.0
3,Revoada No Colchão,2021-10-28,"Zé Felipe, Marcynho Sensação",Brazil,724800.0
2,Arranhão - Ao Vivo,2021-10-28,Henrique & Juliano,Brazil,869242.0
1,Coração Cachorro,2021-10-28,"Avine Vinny, Matheus Fernandes",Brazil,933396.0
7,Nota de Repúdio - Ao Vivo,2021-10-28,Gusttavo Lima,Brazil,673179.0
8,Ela e Ela,2021-10-29,Zé Neto & Cristiano,Brazil,736814.0
1,Coração Cachorro,2021-10-29,"Avine Vinny, Matheus Fernandes",Brazil,1125725.0
2,Arranhão - Ao Vivo,2021-10-29,Henrique & Juliano,Brazil,1047445.0
3,Revoada No Colchão,2021-10-29,"Zé Felipe, Marcynho Sensação",Brazil,912367.0
4,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-29,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,869178.0
5,GALOPA,2021-10-29,PEDRO SAMPAIO,Brazil,861208.0
6,Bala Love,2021-10-29,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,842813.0
7,Nota de Repúdio - Ao Vivo,2021-10-29,Gusttavo Lima,Brazil,823826.0
10,Putariazinha,2021-10-29,Felipe Amorim,Brazil,694648.0
9,A QUEDA,2021-10-29,Gloria Groove,Brazil,706365.0
7,Bala Love,2021-10-30,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,979324.0
1,Coração Cachorro,2021-10-30,"Avine Vinny, Matheus Fernandes",Brazil,1429082.0
6,GALOPA,2021-10-30,PEDRO SAMPAIO,Brazil,1015750.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-30,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,1044502.0
9,Putariazinha,2021-10-30,Felipe Amorim,Brazil,859809.0
3,Revoada No Colchão,2021-10-30,"Zé Felipe, Marcynho Sensação",Brazil,1143530.0
2,Arranhão - Ao Vivo,2021-10-30,Henrique & Juliano,Brazil,1274830.0
10,Meu Pedaço de Pecado,2021-10-30,João Gomes,Brazil,839176.0
4,Nota de Repúdio - Ao Vivo,2021-10-30,Gusttavo Lima,Brazil,1045621.0
8,Ela e Ela,2021-10-30,Zé Neto & Cristiano,Brazil,919005.0
1,Coração Cachorro,2021-10-31,"Avine Vinny, Matheus Fernandes",Brazil,1179429.0
2,Arranhão - Ao Vivo,2021-10-31,Henrique & Juliano,Brazil,990414.0
3,Revoada No Colchão,2021-10-31,"Zé Felipe, Marcynho Sensação",Brazil,912321.0
4,Nota de Repúdio - Ao Vivo,2021-10-31,Gusttavo Lima,Brazil,836519.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-10-31,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,823419.0
6,GALOPA,2021-10-31,PEDRO SAMPAIO,Brazil,792368.0
8,Ela e Ela,2021-10-31,Zé Neto & Cristiano,Brazil,720647.0
7,Bala Love,2021-10-31,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,769339.0
10,Putariazinha,2021-10-31,Felipe Amorim,Brazil,702223.0
9,Meu Pedaço de Pecado,2021-10-31,João Gomes,Brazil,706878.0
8,Ela e Ela,2021-11-01,Zé Neto & Cristiano,Brazil,624421.0
1,Coração Cachorro,2021-11-01,"Avine Vinny, Matheus Fernandes",Brazil,945090.0
2,Arranhão - Ao Vivo,2021-11-01,Henrique & Juliano,Brazil,856089.0
3,Revoada No Colchão,2021-11-01,"Zé Felipe, Marcynho Sensação",Brazil,761525.0
4,GALOPA,2021-11-01,PEDRO SAMPAIO,Brazil,755476.0
5,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-11-01,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,708110.0
6,Nota de Repúdio - Ao Vivo,2021-11-01,Gusttavo Lima,Brazil,698454.0
7,Bala Love,2021-11-01,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,668039.0
10,A QUEDA,2021-11-01,Gloria Groove,Brazil,594189.0
9,Putariazinha,2021-11-01,Felipe Amorim,Brazil,603471.0
8,Bala Love,2021-11-02,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,730311.0
7,Ela e Ela,2021-11-02,Zé Neto & Cristiano,Brazil,731642.0
6,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-11-02,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,791450.0
3,Revoada No Colchão,2021-11-02,"Zé Felipe, Marcynho Sensação",Brazil,896176.0
2,Arranhão - Ao Vivo,2021-11-02,Henrique & Juliano,Brazil,988556.0
9,Putariazinha,2021-11-02,Felipe Amorim,Brazil,689559.0
1,Coração Cachorro,2021-11-02,"Avine Vinny, Matheus Fernandes",Brazil,1103717.0
10,Meu Pedaço de Pecado,2021-11-02,João Gomes,Brazil,658758.0
5,Nota de Repúdio - Ao Vivo,2021-11-02,Gusttavo Lima,Brazil,825496.0
4,GALOPA,2021-11-02,PEDRO SAMPAIO,Brazil,840456.0
5,Por Supuesto,2021-11-03,Marina Sena,Brazil,605953.0
6,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-11-03,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,590353.0
9,A QUEDA,2021-11-03,Gloria Groove,Brazil,559948.0
8,Nota de Repúdio - Ao Vivo,2021-11-03,Gusttavo Lima,Brazil,564010.0
10,Ela e Ela,2021-11-03,Zé Neto & Cristiano,Brazil,520287.0
2,Arranhão - Ao Vivo,2021-11-03,Henrique & Juliano,Brazil,723844.0
3,GALOPA,2021-11-03,PEDRO SAMPAIO,Brazil,697575.0
4,Revoada No Colchão,2021-11-03,"Zé Felipe, Marcynho Sensação",Brazil,638084.0
1,Coração Cachorro,2021-11-03,"Avine Vinny, Matheus Fernandes",Brazil,752617.0
7,Bala Love,2021-11-03,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,576447.0
1,Coração Cachorro,2021-11-04,"Avine Vinny, Matheus Fernandes",Brazil,810202.0
2,Arranhão - Ao Vivo,2021-11-04,Henrique & Juliano,Brazil,761168.0
3,GALOPA,2021-11-04,PEDRO SAMPAIO,Brazil,744097.0
4,Revoada No Colchão,2021-11-04,"Zé Felipe, Marcynho Sensação",Brazil,685764.0
5,Por Supuesto,2021-11-04,Marina Sena,Brazil,648105.0
6,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",2021-11-04,"DJ Patrick Muniz, Dj Olliver, Mc Topre",Brazil,621885.0
7,Bala Love,2021-11-04,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",Brazil,591927.0
10,A QUEDA,2021-11-04,Gloria Groove,Brazil,569566.0
9,Nota de Repúdio - Ao Vivo,2021-11-04,Gusttavo Lima,Brazil,580222.0
8,Ameaça,2021-11-04,"Paulo Pires, Mc Danny, Marcynho Sensação",Brazil,586362.0
